county,nearest_town,town_size,landcover_types,elevation_m,dist_to_town_m,dist_to_water_m,topographic_hazard,landcover_risk,water_proximity_risk,vulnerability_score,flood_risk_score,risk_category
Keiyo-Marakwet,Nyeru,Town,unknown,2680.0,2354.1589787760568,10037768.60825607,0.0,0.0,0,3.0,0.6,Low
Keiyo-Marakwet,Cheoeget,Town,protected_areas,2620.0,2601.362244187945,10044096.182015967,0.0,1.0,0,3.0,0.8,Low
Keiyo-Marakwet,Kaptarakwa,Town,protected_areas,2645.0,2474.793849989086,10050423.756312588,0.0,1.0,0,3.0,0.8,Low
Keiyo-Marakwet,Kaptarakwa,Town,forests,1519.0,4416.7435047970075,10056751.331144923,0.0,1.0,0,3.0,0.8,Low
Keiyo-Marakwet,Biretwo,Town,forests,1196.0,2992.7373583715453,10063078.906511959,0.0,1.0,0,3.0,0.8,Low
Keiyo-Marakwet,Kesup,Town,unknown,1186.0,5479.023532908847,10069406.482412687,0.0,0.0,0,1.5,0.3,Low
Keiyo-Marakwet,Iten,Town,protected_areas,1277.0,6239.168186987784,10075734.058846101,0.0,1.0,0,1.5,0.6,Low
Keiyo-Marakwet,Bugar,Town,"protected_areas,rangeland",1651.0,7024.476694062958,10082061.635811204,0.0,3.0,0,1.5,1.0,Low
Keiyo-Marakwet,Bugar,Town,protected_areas,1951.0,7487.849559472961,10088389.213306988,0.0,1.0,0,1.5,0.6,Low
Keiyo-Marakwet,Chebiemit,Town,"forests,protected_areas",2512.0,6331.6876789503,10094716.79133246,0.0,1.0,0,1.5,0.6,Low
Keiyo-Marakwet,Cheptongei,Town,protected_areas,2483.0,7139.276814141255,10101044.369886622,0.0,1.0,0,1.5,0.6,Low
Keiyo-Marakwet,Kapsowar,Town,"forests,protected_areas",2275.0,2836.395628302996,10107371.948968483,0.0,1.0,0,3.0,0.8,Low
Keiyo-Marakwet,Kapsowar,Town,"forests,protected_areas",2373.0,3733.0863105613903,10113699.528577052,0.0,1.0,0,3.0,0.8,Low
Keiyo-Marakwet,Chesoi,Town,"forests,protected_areas",2434.0,3241.969396593286,10120027.10871134,0.0,1.0,0,3.0,0.8,Low
Keiyo-Marakwet,Chesoi,Town,"forests,protected_areas",3157.0,7766.187905435713,10126354.689370362,0.0,1.0,0,1.5,0.6,Low
Keiyo-Marakwet,Cheblil,Town,"forests,protected_areas",2755.0,10618.186878119788,10132682.270553136,0.0,1.0,0,0.0,0.2,Low
Keiyo-Marakwet,Cheblil,Town,protected_areas,3169.0,7518.749393065953,10139009.85225868,0.0,1.0,0,1.5,0.6,Low
West Pokot,Chesengon,Town,forests,2807.0,8421.675084901257,10145337.434486017,0.0,1.0,0,1.5,0.6,Low
West Pokot,Lomut,Town,forests,1510.0,4948.875796533393,10151665.017234169,0.0,1.0,0,3.0,0.8,Low
West Pokot,Lomut,Town,unknown,1001.0,1554.9838311309036,10157992.600502165,0.0,0.0,0,6.0,1.2,Low
West Pokot,Lomut,Town,unknown,933.0,7773.785807484218,10164320.184289034,0.0,0.0,0,1.5,0.3,Low
West Pokot,Sigor,Town,"floodplains,forests",900.0,11570.294471556655,10170647.768593807,0.0,10.0,0,0.0,2.5,Low
West Pokot,Sigor,Town,forests,892.0,15346.616596908369,10176975.353415519,0.0,1.0,0,0.0,0.2,Low
West Pokot,Lotongot,Town,rangeland,881.0,12288.320590054429,10183302.938753204,0.0,3.0,0,0.0,0.8,Low
West Pokot,Lotongot,Town,rangeland,865.0,8102.289523099354,10189630.524605902,0.0,3.0,0,1.5,1.0,Low
Turkana,Lotongot,Town,rangeland,860.0,7770.36267546731,10195958.110972656,0.0,3.0,0,1.5,1.0,Low
Turkana,Lotongot,Town,forests,881.0,11627.430700738038,10202285.697852507,0.0,1.0,0,0.0,0.2,Low
Turkana,Lotongot,Town,forests,877.0,17032.40797106021,10208613.285244502,0.0,1.0,0,0.0,0.2,Low
Turkana,Kaputirr,Town,"protected_areas,rangeland",824.0,18785.683741644516,10214940.873147689,0.0,3.0,0,0.0,0.8,Low
Turkana,Kaputirr,Town,rangeland,817.0,13601.836253526919,10221268.461561117,0.0,3.0,0,0.0,0.8,Low
Turkana,Kaputirr,Town,rangeland,792.0,9859.267381222164,10227596.050483843,0.0,3.0,0,1.5,1.0,Low
Turkana,Kaputirr,Town,rangeland,785.0,9459.784623399386,10233923.639914919,0.0,3.0,0,1.5,1.0,Low
Turkana,Kaputirr,Town,rangeland,799.0,12722.305803107218,10240251.229853403,0.0,3.0,0,0.0,0.8,Low
Turkana,Kaputirr,Town,rangeland,807.0,17728.89654700618,10246578.820298357,0.0,3.0,0,0.0,0.8,Low
Turkana,Lokichar,Town,rangeland,805.0,16129.214286505674,10252906.41124884,0.0,3.0,0,0.0,0.8,Low
Turkana,Lokichar,Town,rangeland,796.0,12610.76221699819,10259234.00270392,0.0,3.0,0,0.0,0.8,Low
Turkana,Lokichar,Town,rangeland,788.0,11747.266145249263,10265561.594662663,0.0,3.0,0,0.0,0.8,Low
Turkana,Lokichar,Town,rangeland,828.0,14037.534259298172,10271889.187124137,0.0,3.0,0,0.0,0.8,Low
Turkana,Loichangamata,Town,rangeland,844.0,14379.358890644005,10278216.780087413,0.0,3.0,0,0.0,0.8,Low
Turkana,Loichangamata,Town,rangeland,844.0,10983.87958305355,10284544.373551568,0.0,3.0,0,0.0,0.8,Low
Turkana,Loichangamata,Town,forests,1048.0,10705.719372564296,10290871.967515673,0.0,1.0,0,0.0,0.2,Low
Turkana,Loichangamata,Town,rangeland,857.0,13735.589243755663,10297199.561978813,0.0,3.0,0,0.0,0.8,Low
Turkana,Loichangamata,Town,rangeland,767.0,18515.063177376796,10303527.156940063,0.0,3.0,0,0.0,0.8,Low
Turkana,Loichangamata,Town,rangeland,703.0,24021.5712444322,10309854.752398508,0.0,3.0,0,0.0,0.8,Low
Turkana,Loichangamata,Town,rangeland,648.0,29855.50826297234,10316182.348353233,0.0,3.0,0,0.0,0.8,Low
Turkana,Lodwar,Town,rangeland,605.0,24538.247527564003,10322509.944803325,0.0,3.0,0,0.0,0.8,Low
Turkana,Lodwar,Town,rangeland,573.0,18392.548346840576,10328837.541747874,0.0,3.0,0,0.0,0.8,Low
Turkana,Lodwar,Town,rangeland,543.0,12431.140159202429,10335165.139185973,0.0,3.0,0,0.0,0.8,Low
Turkana,Lodwar,Town,"floodplains,forests",513.0,7132.168297551782,10341492.737116711,0.0,10.0,0,1.5,2.8,Low
Turkana,Lodwar,Town,"floodplains,rangeland",499.0,5223.942150471231,10347820.335539192,2.0,10.0,0,1.5,3.4,Low
Turkana,Lodwar,Town,rangeland,538.0,9154.151329224205,10354147.93445251,0.0,3.0,0,1.5,1.0,Low
Turkana,Lodwar,Town,forests,602.0,14845.69195171463,10360475.533855764,0.0,1.0,0,0.0,0.2,Low
Turkana,Lodwar,Town,rangeland,606.0,20906.40620699961,10366803.13374806,0.0,3.0,0,0.0,0.8,Low
Turkana,Lodwar,Town,rangeland,546.0,27089.633431608836,10373130.734128503,0.0,3.0,0,0.0,0.8,Low
Turkana,Lodwar,Town,forests,549.0,33327.25350858973,10379458.334996197,0.0,1.0,0,0.0,0.2,Low
